Date,wx_temperature_2m_mean,wx_temperature_2m_max,wx_temperature_2m_min,wx_precipitation_sum,wx_precipitation_hours,wx_snowfall_sum,wx_cloud_cover_mean,wx_wind_speed_10m_max,obs_precip_evening
2024-01-16,-3.9,2.1,-8.6,0.0,0.0,0.0,48,9.1,0.0
2024-01-17,-1.6,1.1,-5.7,7.7,12.0,2.87,88,7.8,1.9
2024-01-18,2.7,9.8,-0.7,1.0,4.0,0.0,53,21.0,0.0
2024-01-19,3.2,7.4,0.9,0.0,0.0,0.0,95,21.1,0.0
2024-01-20,1.7,4.0,0.4,2.2,12.0,1.26,100,22.7,1.1
2024-01-21,0.6,2.5,-3.0,0.1,1.0,0.07,99,17.5,0.1
2024-01-22,-8.6,-4.2,-12.4,0.0,0.0,0.0,59,22.9,0.0
2024-01-23,-12.3,-9.0,-15.0,0.0,0.0,0.0,8,23.8,0.0
2024-01-24,-8.9,-4.3,-12.0,0.0,0.0,0.0,0,23.0,0.0
2024-01-25,-6.0,-0.8,-9.2,0.0,0.0,0.0,2,13.8,0.0
2024-01-26,-3.6,3.1,-7.5,0.0,0.0,0.0,21,15.5,0.0
2024-01-27,-2.4,4.1,-7.3,0.0,0.0,0.0,39,14.2,0.0
2024-01-28,-3.1,1.5,-6.7,0.0,0.0,0.0,16,13.0,0.0
2024-01-29,-2.4,3.9,-6.5,0.0,0.0,0.0,27,9.4,0.0
2024-01-30,-0.6,6.3,-5.8,0.0,0.0,0.0,29,8.3,0.0
2024-01-31,1.6,8.8,-3.8,0.0,0.0,0.0,39,12.0,0.0
2024-02-01,0.1,5.6,-3.7,0.0,0.0,0.0,87,16.8,0.0
2024-02-02,1.0,4.9,-3.2,0.0,0.0,0.0,98,12.3,0.0
2024-02-03,1.4,6.8,-3.0,1.4,6.0,0.0,97,12.1,1.1
2024-02-04,4.1,9.3,0.8,0.0,0.0,0.0,92,15.9,0.0
2024-02-05,1.4,2.6,-0.9,7.6,24.0,3.29,100,24.7,1.0
2024-02-06,0.5,3.7,-1.8,1.0,6.0,0.56,94,12.6,0.0
2024-02-07,-1.4,2.9,-5.7,0.0,0.0,0.0,44,7.4,0.0
2024-02-08,-1.7,3.5,-5.0,0.0,0.0,0.0,51,9.0,0.0
2024-02-09,-1.2,4.3,-4.5,0.0,0.0,0.0,36,17.6,0.0
2024-02-10,-0.9,6.5,-5.3,0.0,0.0,0.0,15,18.0,0.0
2024-02-11,-1.7,5.1,-7.1,0.0,0.0,0.0,16,25.0,0.0
2024-02-12,0.1,8.6,-6.2,0.0,0.0,0.0,0,12.5,0.0
2024-02-13,5.6,13.0,-0.3,0.0,0.0,0.0,9,25.6,0.0
2024-02-14,9.3,16.3,4.0,1.0,8.0,0.0,55,17.5,0.0
2024-02-15,4.4,8.9,-1.6,8.6,12.0,2.24,91,22.2,0.0
2024-02-16,-0.1,6.1,-4.8,0.0,0.0,0.0,5,10.5,0.0
2024-02-17,1.2,8.4,-4.7,0.0,0.0,0.0,9,8.3,0.0
2024-02-18,4.0,9.2,-2.8,8.5,6.0,0.0,75,16.0,0.7
2024-02-19,8.8,11.9,2.1,8.6,13.0,0.0,97,18.9,0.0
2024-02-20,2.8,6.7,0.3,2.0,10.0,0.07,100,21.6,0.6000000000000001
2024-02-21,1.7,2.7,0.1,15.3,22.0,9.24,100,23.5,2.1
2024-02-22,-0.6,0.9,-2.1,5.7,15.0,3.99,100,20.4,0.30000000000000004
2024-02-23,0.6,5.8,-2.6,0.2,2.0,0.14,96,18.4,0.0
2024-02-24,0.6,6.0,-3.7,2.1,6.0,0.91,100,15.0,1.3
2024-02-25,1.7,5.6,-2.2,2.1,11.0,1.47,82,12.6,0.0
2024-02-26,1.8,8.1,-3.4,0.0,0.0,0.0,43,11.7,0.0
2024-02-27,2.2,8.5,-2.8,0.0,0.0,0.0,95,16.6,0.0
2024-02-28,3.9,7.9,1.1,0.0,0.0,0.0,98,10.5,0.0
2024-02-29,2.8,7.5,-1.9,0.1,1.0,0.0,93,18.7,0.0
2024-03-01,-4.9,-1.3,-7.9,0.0,0.0,0.0,13,25.3,0.0
2024-03-02,-2.0,4.4,-8.3,3.6,6.0,2.52,48,33.1,2.3
2024-03-03,1.6,7.6,-4.3,0.4,2.0,0.07,17,22.1,0.0
2024-03-04,2.1,9.0,-5.3,0.0,0.0,0.0,56,8.3,0.0
2024-03-05,5.3,10.5,2.5,0.6,2.0,0.07,100,15.7,0.0
2024-03-06,4.0,8.9,-1.3,0.0,0.0,0.0,71,15.4,0.0
2024-03-07,2.6,7.1,-1.3,2.1,9.0,0.49,56,18.7,0.0
2024-03-08,0.1,5.9,-4.3,0.0,0.0,0.0,5,24.7,0.0
2024-03-09,-0.6,5.8,-5.6,0.0,0.0,0.0,0,17.1,0.0
2024-03-10,1.7,8.3,-3.9,0.0,0.0,0.0,18,17.2,0.0
2024-03-11,3.8,9.6,-1.6,0.4,1.0,0.0,96,12.2,0.4
2024-03-12,4.6,10.0,-0.1,1.7,7.0,0.0,55,11.2,0.1
2024-03-13,3.6,10.5,-2.4,0.0,0.0,0.0,9,23.2,0.0
2024-03-14,5.0,12.9,-0.9,0.0,0.0,0.0,0,16.8,0.0
2024-03-15,5.3,12.4,-0.7,0.0,0.0,0.0,1,21.4,0.0
2024-03-16,7.5,15.4,-0.4,0.0,0.0,0.0,39,13.8,0.0
2024-03-17,7.0,10.1,3.4,0.1,1.0,0.0,88,25.7,0.0
2024-03-18,4.0,11.4,-3.2,0.0,0.0,0.0,53,16.3,0.0
2024-03-19,5.3,10.3,2.1,0.7,3.0,0.0,64,33.6,0.0
2024-03-20,3.2,7.7,-0.7,0.0,0.0,0.0,13,22.3,0.0
2024-03-21,3.0,9.9,-2.5,0.0,0.0,0.0,17,15.9,0.0
2024-03-22,7.8,15.8,0.3,16.3,8.0,0.0,96,31.1,9.9
2024-03-23,10.5,16.2,7.5,1.3,1.0,0.0,73,15.6,0.0
2024-03-24,11.9,19.3,5.3,0.0,0.0,0.0,82,12.5,0.0
2024-03-25,8.7,12.4,5.6,2.5,7.0,0.0,100,25.1,0.7
2024-03-26,6.1,12.1,1.9,12.4,11.0,0.21,77,18.5,0.0
2024-03-27,7.6,14.7,1.6,0.0,0.0,0.0,93,12.4,0.0
2024-03-28,8.8,12.0,6.6,3.0,12.0,0.0,94,12.6,0.0
2024-03-29,7.1,13.1,2.7,5.0,5.0,0.07,52,30.2,0.0
2024-03-30,6.4,14.2,0.5,1.0,2.0,0.21,35,19.9,0.0
2024-03-31,7.2,14.4,0.1,0.0,0.0,0.0,35,9.9,0.0
2024-04-01,8.9,16.2,3.1,0.0,0.0,0.0,15,16.2,0.0
2024-04-02,11.6,21.2,2.8,0.0,0.0,0.0,87,10.3,0.0
2024-04-03,12.6,16.3,9.7,0.5,3.0,0.0,86,12.0,0.0
2024-04-04,12.9,18.4,9.2,0.0,0.0,0.0,92,15.9,0.0
2024-04-05,11.8,16.2,6.8,0.1,1.0,0.0,58,17.1,0.0
